
2025/01/28 (19:49:18) | ===> btop++ v.1.4.0
2025/01/28 (19:49:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:49:31) | ===> btop++ v.1.4.0
2025/01/28 (19:49:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:49:43) | ===> btop++ v.1.4.0
2025/01/28 (19:49:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:49:47) | ===> btop++ v.1.4.0
2025/01/28 (19:49:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:50:46) | ===> btop++ v.1.4.0
2025/01/28 (19:50:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (19:52:33) | ===> btop++ v.1.4.0
2025/01/28 (19:52:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (20:01:01) | ===> btop++ v.1.4.0
2025/01/28 (20:01:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/28 (20:02:00) | INFO: Logger set to INFO
2025/01/28 (20:02:05) | INFO: Logger set to INFO
2025/01/28 (20:02:05) | INFO: Logger set to DEBUG
2025/01/28 (20:02:05) | INFO: Logger set to DEBUG
2025/01/28 (20:02:05) | INFO: Logger set to INFO

2025/01/28 (20:10:38) | ===> btop++ v.1.4.0
2025/01/28 (20:10:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/28 (20:12:45) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/28 (20:13:04) | ===> btop++ v.1.4.0
2025/01/28 (20:13:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (20:41:24) | ===> btop++ v.1.4.0
2025/01/29 (20:41:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/29 (20:41:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:21:20) | ===> btop++ v.1.4.0
2025/02/01 (15:21:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/01 (15:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (15:53:21) | ===> btop++ v.1.4.0
